"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2010"
"Location","White","Black","Hispanic","Asian","American Indian/Alaska Native","Native Hawaiian/Other Pacific Islander","Multiple Races","Total",Footnotes
"United States","0.638","0.120","0.165","0.048","0.010","<.01","0.021","1.000","1"
"Alabama","0.674","0.261","0.038","0.011","0.010","N/A","0.012","1.000"
"Alaska","0.642","0.030","0.055","0.052","0.144","0.010","0.070","1.000"
"Arizona","0.580","0.038","0.297","0.027","0.040","<.01","0.017","1.000"
"Arkansas","0.746","0.156","0.063","0.011","0.010","<.01","0.016","1.000"
"California","0.400","0.056","0.379","0.131","<.01","<.01","0.027","1.000"
"Colorado","0.702","0.035","0.207","0.026","0.010","<.01","0.024","1.000"
"Connecticut","0.712","0.092","0.135","0.037","<.01","N/A","0.022","1.000"
"Delaware","0.656","0.207","0.082","0.031","N/A","N/A","0.021","1.000"
"District of Columbia","0.335","0.515","0.094","0.034","N/A","N/A","0.019","1.000"
"Florida","0.579","0.149","0.228","0.024","<.01","<.01","0.018","1.000"
"Georgia","0.560","0.301","0.089","0.032","<.01","<.01","0.016","1.000"
"Hawaii","0.217","0.012","0.085","0.390","<.01","0.098","0.198","1.000"
"Idaho","0.842","0.010","0.112","0.014","0.010","N/A","0.016","1.000"
"Illinois","0.637","0.140","0.160","0.045","<.01","N/A","0.015","1.000"
"Indiana","0.817","0.089","0.060","0.015","<.01","N/A","0.017","1.000"
"Iowa","0.888","0.030","0.049","0.016","<.01","N/A","0.016","1.000"
"Kansas","0.783","0.054","0.106","0.025","0.010","N/A","0.025","1.000"
"Kentucky","0.868","0.075","0.029","0.012","<.01","N/A","0.014","1.000"
"Louisiana","0.607","0.316","0.043","0.015","0.010","N/A","0.014","1.000"
"Maine","0.946","0.011","0.011","0.012","0.010","N/A","0.015","1.000"
"Maryland","0.548","0.289","0.082","0.056","<.01","N/A","0.024","1.000"
"Massachusetts","0.764","0.062","0.097","0.053","<.01","N/A","0.023","1.000"
"Michigan","0.767","0.138","0.044","0.024","0.010","<.01","0.022","1.000"
"Minnesota","0.832","0.047","0.047","0.040","0.010","N/A","0.025","1.000"
"Mississippi","0.584","0.370","0.024","0.010","0.010","N/A","0.010","1.000"
"Missouri","0.812","0.114","0.035","0.016","<.01","<.01","0.019","1.000"
"Montana","0.880","<.01","0.028","0.010","0.063","N/A","0.021","1.000"
"Nebraska","0.824","0.042","0.092","0.015","0.010","N/A","0.020","1.000"
"Nevada","0.539","0.077","0.268","0.073","0.010","0.010","0.029","1.000"
"New Hampshire","0.921","0.011","0.027","0.021","<.01","N/A","0.017","1.000"
"New Jersey","0.594","0.126","0.178","0.082","<.01","N/A","0.018","1.000"
"New Mexico","0.405","0.017","0.465","0.011","0.088","N/A","0.014","1.000"
"New York","0.582","0.143","0.178","0.074","<.01","<.01","0.020","1.000"
"North Carolina","0.654","0.209","0.085","0.022","0.011","<.01","0.020","1.000"
"North Dakota","0.893","0.011","0.019","0.011","0.049","N/A","0.018","1.000"
"Ohio","0.813","0.119","0.031","0.017","<.01","N/A","0.019","1.000"
"Oklahoma","0.688","0.068","0.089","0.017","0.068","N/A","0.070","1.000"
"Oregon","0.785","0.017","0.117","0.037","0.011","<.01","0.030","1.000"
"Pennsylvania","0.798","0.101","0.056","0.027","<.01","N/A","0.017","1.000"
"Rhode Island","0.764","0.051","0.128","0.027","N/A","N/A","0.028","1.000"
"South Carolina","0.644","0.277","0.049","0.011","<.01","N/A","0.016","1.000"
"South Dakota","0.850","0.012","0.025","0.010","0.087","N/A","0.020","1.000"
"Tennessee","0.758","0.165","0.045","0.014","<.01","N/A","0.016","1.000"
"Texas","0.452","0.112","0.380","0.039","<.01","<.01","0.014","1.000"
"Utah","0.804","0.010","0.130","0.019","0.010","0.010","0.019","1.000"
"Vermont","0.945","0.012","0.015","0.012","N/A","N/A","0.015","1.000"
"Virginia","0.649","0.190","0.079","0.055","<.01","<.01","0.025","1.000"
"Washington","0.727","0.033","0.112","0.072","0.013","0.010","0.039","1.000"
"West Virginia","0.936","0.028","0.011","0.010","N/A","N/A","0.019","1.000"
"Wisconsin","0.835","0.060","0.059","0.023","0.010","<.01","0.016","1.000"
"Wyoming","0.861","0.010","0.089","0.010","0.021","N/A","0.015","1.000"
"Puerto Rico","0.010","<.01","0.989","N/A","N/A","N/A","<.01","1.000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2022 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
