"Representative","Office Running For","Cash on Hand"
"Frank Pallone Jr (D-NJ) ","New Jersey District 06","$3467868"
"Joseph A. Sestak Jr (D-Pa) ","Pennsylvania District 07","$2937140"
"Edward J Markey (D-Mass) ","Massachusetts District 07","$2826284"
"Lloyd Doggett (D-Texas) ","Texas District 25","$2765078"
"Chris Van Hollen (D-Md) ","Maryland District 08","$2576800"
"Jerry Moran (R-Kan) ","Kansas District 01","$2542937"
"Ron Paul (R) ","Texas District 14","$2500378"
"Cliff Stearns (R-Fla) ","Florida District 06","$2272965"
"Richard E Neal (D-Mass) ","Massachusetts District 02","$2207192"
"Ed Royce (R-Calif) ","California District 40","$2198888"
"Brad Sherman (D-Calif) ","California District 27","$2093212"
"Jerry F Costello (D-Ill) ","Illinois District 12","$2075962"
"Allyson Schwartz (D-Pa) ","Pennsylvania District 13","$1980215"
"Steven R Rothman (D-NJ) ","New Jersey District 09","$1848788"
"Steve Israel (D-NY) ","New York District 02","$1711642"
"Adam Schiff (D-Calif) ","California District 29","$1652829"
"Ron Klein (D-Fla) ","Florida District 22","$1584194"
"John J (Jimmy) Duncan Jr (R-Tenn) ","Tennessee District 02","$1535806"
"Jeb Hensarling (R-Texas) ","Texas District 05","$1508841"
"Ed Pastor (D-Ariz) ","Arizona District 04","$1470200"
"Joe Barton (R-Texas) ","Texas District 06","$1400599"
"John Tanner (D-Tenn) ","Tennessee District 08","$1374155"
"Rick Boucher (D-Va) ","Virginia District 09","$1372635"
"Bud Cramer (D-Ala) ","Alabama District 05","$1363416"
"Nick Rahall (D-WVa) ","West Virginia District 03","$1358915"
"Stephen F. Lynch (D-Mass) ","Massachusetts District 09","$1301692"
"Charles B Rangel (D-NY) ","New York District 15","$1298759"
"Bennie G Thompson (D-Miss) ","Mississippi District 02","$1284126"
"John F Tierney (D-Mass) ","Massachusetts District 06","$1282610"
"Frank A LoBiondo (R-NJ) ","New Jersey District 02","$1177314"
"Gary Ackerman (D-NY) ","New York District 05","$1164085"
"Michael E. Capuano (D-Mass) ","Massachusetts District 08","$1163878"
"Allen Boyd (D-Fla) ","Florida District 02","$1157706"
"John M Shimkus (R-Ill) ","Illinois District 19","$1142862"
"Bill Pascrell Jr (D-NJ) ","New Jersey District 08","$1131261"
"Artur Davis (D-Ala) ","Alabama District 07","$1130840"
"Ben Chandler (D-Ky) ","Kentucky District 06","$1123441"
"Dan Boren (D-Okla) ","Oklahoma District 02","$1112993"
"Mike Thompson (D-Calif) ","California District 01","$1111839"
"Carolyn B Maloney (D-NY) ","New York District 14","$1107186"
"Donald M Payne (D-NJ) ","New Jersey District 10","$1089209"
"Pete King (R-NY) ","New York District 03","$1077262"
"Jerry Lewis (R-Calif) ","California District 41","$1076310"
"Neil Abercrombie (D-Hawaii) ","Hawaii District 01","$1072495"
"Jay Inslee (D-Wash) ","Washington District 01","$1061093"
"Robert Wexler (D-Fla) ","Florida District 19","$1056743"
"James E Clyburn (D-SC) ","South Carolina District 06","$1043852"
"Bart Gordon (D-Tenn) ","Tennessee District 06","$1020405"
"Joseph Crowley (D-NY) ","New York District 07","$1011556"
"Jerrold Nadler (D-NY) ","New York District 08","$1005793"
"Todd Tiahrt (R-Kan) ","Kansas District 04","$1001934"
"Candice S Miller (R-Mich) ","Michigan District 10","$985772"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$955576"
"Heath Shuler (D-NC) ","North Carolina District 11","$943706"
"Bill Delahunt (D-Mass) ","Massachusetts District 10","$932910"
"Virginia Foxx (R-NC) ","North Carolina District 05","$926161"
"Hal Rogers (R-Ky) ","Kentucky District 05","$911460"
"David Dreier (R-Calif) ","California District 26","$902479"
"Henry A Waxman (D-Calif) ","California District 30","$898381"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$878793"
"Pete Visclosky (D-Ind) ","Indiana District 01","$864119"
"John D Dingell (D-Mich) ","Michigan District 15","$863510"
"Jeff Flake (R-Ariz) ","Arizona District 06","$863325"
"Michael N. Castle (R-Del) ","Delaware District 01","$862744"
"Gary Miller (R-Calif) ","California District 42","$862157"
"Shelley Berkley (D-Nev) ","Nevada District 01","$853233"
"Tom Petri (R-Wis) ","Wisconsin District 06","$831435"
"Phil Gingrey (R-Ga) ","Georgia District 11","$824400"
"Kevin McCarthy (R-Calif) ","California District 22","$800432"
"Lamar Smith (R-Texas) ","Texas District 21","$790117"
"Devin Nunes (R-Calif) ","California District 21","$784763"
"Elton Gallegly (R-Calif) ","California District 24","$778746"
"Pete Sessions (R-Texas) ","Texas District 32","$778212"
"Charles Melancon (D-La) ","Louisiana District 03","$777659"
"Dutch Ruppersberger (D-Md) ","Maryland District 02","$775840"
"Ron Kind (D-Wis) ","Wisconsin District 03","$773867"
"James L Oberstar (D-Minn) ","Minnesota District 08","$758117"
"Fred Upton (R-Mich) ","Michigan District 06","$735317"
"Terry Everett (R-Ala) ","Alabama District 02","$729011"
"John Linder (R-Ga) ","Georgia District 07","$726602"
"Gresham Barrett (R-SC) ","South Carolina District 03","$725212"
"Bob Etheridge (D-NC) ","North Carolina District 02","$716414"
"Nita M Lowey (D-NY) ","New York District 18","$714179"
"Jim Matheson (D-Utah) ","Utah District 02","$702495"
"Dave Hobson (R-Ohio) ","Ohio District 07","$694234"
"John L Mica (R-Fla) ","Florida District 07","$681198"
"Jack Kingston (R-Ga) ","Georgia District 01","$678232"
"Jackie Speier (D-Calif) ","California District 12","$671120"
"Gabrielle Giffords (D-Ariz) ","Arizona District 08","$669497"
"Ander Crenshaw (R-Fla) ","Florida District 04","$662399"
"Spencer Bachus (R-Ala) ","Alabama District 06","$658401"
"Elijah E Cummings (D-Md) ","Maryland District 07","$658018"
"Bob Goodlatte (R-Va) ","Virginia District 06","$656337"
"David R Obey (D-Wis) ","Wisconsin District 07","$654311"
