"Representative","Office Running For","Total Raised"
"Saxby Chambliss (R-Ga) ","Georgia SenateCurrent office: Georgia District 08","$8134465"
"Lindsey Graham (R-SC) ","South Carolina SenateCurrent office: South Carolina District 03","$7898452"
"Richard A. Gephardt (D-Mo) ","Missouri District 03","$5756681"
"John Thune (R-SD) ","South Dakota SenateCurrent office: South Dakota District 01","$5514226"
"Greg Ganske (R-Iowa) ","Iowa SenateCurrent office: Iowa District 04","$5046649"
"Connie Morella (R-Md) ","Maryland District 08","$3812496"
"John E. Sununu (R-NH) ","New Hampshire SenateCurrent office: New Hampshire District 01","$3731660"
"Dennis Hastert (R-Ill) ","Illinois District 14","$3611604"
"Nancy L. Johnson (R-Conn) ","Connecticut District 05Current office: Connecticut District 06","$3405860"
"Anne M. Northup (R-Ky) ","Kentucky District 03","$3375338"
"Bob Barr (R-Ga) ","Georgia District 07","$3249230"
"Patrick J. Kennedy (D-RI) ","Rhode Island District 01","$3112242"
"John D. Dingell (D-Mich) ","Michigan District 15Current office: Michigan District 16","$3073008"
"Joe Knollenberg (R-Mich) ","Michigan District 09Current office: Michigan District 11","$2859104"
"Charles W. (Chip) Pickering Jr (R-Miss) ","Mississippi District 03","$2781341"
"Heather A.Wilson (R-NM) ","New Mexico District 01","$2735483"
"Bob Clement (D-Tenn) ","Tennessee SenateCurrent office: Tennessee District 05","$2702316"
"Shelley Moore Capito (R-WVa) ","West Virginia District 02","$2585442"
"Henry Bonilla (R-Texas) ","Texas District 23","$2578544"
"Robert Menendez (D-NJ) ","New Jersey District 13","$2518467"
"Stephen F. Lynch (D-Mass) ","Massachusetts District 09","$2495151"
"Bill Luther (D-Minn) ","Minnesota District 02Current office: Minnesota District 06","$2485486"
"John P. Murtha (D-Pa) ","Pennsylvania District 12","$2405388"
"Billy Tauzin (R-La) ","Louisiana District 03","$2324918"
"Robin Hayes (R-NC) ","North Carolina District 08","$2322515"
"Mike Ferguson (R-NJ) ","New Jersey District 07","$2204821"
"Don Young (R-Alaska) ","Alaska District 01","$2117851"
"John Linder (R-Ga) ","Georgia District 07Current office: Georgia District 11","$2055486"
"Rob Simmons (R-Conn) ","Connecticut District 02","$2051270"
"Rush Holt (D-NJ) ","New Jersey District 12","$2046950"
"Mike Ross (D-Ark) ","Arkansas District 04","$2019321"
"Jim Nussle (R-Iowa) ","Iowa District 01Current office: Iowa District 02","$1984688"
"Karen L. Thurman (D-Fla) ","Florida District 05","$1971381"
"E. Clay Shaw Jr (R-Fla) ","Florida District 22","$1954341"
"Mark Foley (R-Fla) ","Florida District 16","$1945062"
"Roy Blunt (R-Mo) ","Missouri District 07","$1940047"
"Jim Maloney (D-Conn) ","Connecticut District 05","$1908307"
"Carolyn McCarthy (D-NY) ","New York District 04","$1902518"
"Mark Kennedy (R-Minn) ","Minnesota District 06Current office: Minnesota District 02","$1901227"
"Dennis Moore (D-Kan) ","Kansas District 03","$1899153"
"Shelley Berkley (D-Nev) ","Nevada District 01","$1893997"
"Randy Forbes (R-Va) ","Virginia District 04","$1860364"
"John M. Shimkus (R-Ill) ","Illinois District 19Current office: Illinois District 20","$1848117"
"John Cooksey (R-La) ","Louisiana SenateCurrent office: Louisiana District 05","$1840430"
"Jennifer Dunn (R-Wash) ","Washington District 08","$1838489"
"John Sullivan (R-Okla) ","Oklahoma District 01","$1838180"
"Earl Pomeroy (D-ND) ","North Dakota District 01","$1814647"
"Tom Reynolds (R-NY) ","New York District 26Current office: New York District 27","$1812214"
"Rick Larsen (D-Wash) ","Washington District 02","$1788065"
"Mike Rogers (R-Mich) ","Michigan District 08","$1786511"
"Ed Bryant (R-Tenn) ","Tennessee SenateCurrent office: Tennessee District 07","$1776678"
"Mark Kirk (R-Ill) ","Illinois District 10","$1705513"
"Martin Frost (D-Texas) ","Texas District 24","$1679085"
"Lynn N. Rivers (D-Mich) ","Michigan District 15Current office: Michigan District 13","$1678442"
"Charles B. Rangel (D-NY) ","New York District 15","$1662327"
