"Representative","Office Running For","Total Raised"
"Beto O'Rourke (D-Texas) ","Texas SenateCurrent office: Texas District 16","$78979726"
"Jacky Rosen (D-Nev) ","Nevada SenateCurrent office: Nevada District 03","$25627244"
"Kyrsten Sinema (D-Ariz) ","Arizona SenateCurrent office: Arizona District 09","$22197141"
"Martha McSally (R-Ariz) ","Arizona SenateCurrent office: Arizona District 02","$21618743"
"Marsha Blackburn (R-Tenn) ","Tennessee SenateCurrent office: Tennessee District 07","$14400857"
"Steve Scalise (R-La) ","Louisiana District 01","$13180265"
"Devin Nunes (R-Calif) ","California District 22","$12619096"
"Greg Gianforte (R-Mont) ","Montana District 01","$9575312"
"Conor Lamb (D-Pa) ","Pennsylvania District 17Current office: Pennsylvania District 18","$8989889"
"Karen Handel (R-Ga) ","Georgia District 06","$8685781"
"Kevin McCarthy (R-Calif) ","California District 23","$7986409"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$7701946"
"Lou Barletta (R-Pa) ","Pennsylvania SenateCurrent office: Pennsylvania District 11","$7284879"
"Peter Roskam (R-Ill) ","Illinois District 06","$6967864"
"Josh Gottheimer (D-NJ) ","New Jersey District 05","$6830942"
"Barbara Comstock (R-Va) ","Virginia District 10","$6375623"
"Adam Schiff (D-Calif) ","California District 28","$6250005"
"Brian Mast (R-Fla) ","Florida District 18","$6091715"
"Kevin Cramer (R-ND) ","North Dakota SenateCurrent office: North Dakota District 01","$5947202"
"Erik Paulsen (R-Minn) ","Minnesota District 03","$5778480"
"Cathy McMorris Rodgers (R-Wash) ","Washington District 05","$5757569"
"Mia Love (R-Utah) ","Utah District 04","$5732989"
"Greg Walden (R-Ore) ","Oregon District 02","$5312778"
"Raja Krishnamoorthi (D-Ill) ","Illinois District 08","$5242332"
"Andy Barr (R-Ky) ","Kentucky District 06","$5238577"
"Kevin Brady (R-Texas) ","Texas District 08","$5213137"
"Will Hurd (R-Texas) ","Texas District 23","$5129917"
"Carlos Curbelo (R-Fla) ","Florida District 26","$5090569"
"Pete Sessions (R-Texas) ","Texas District 32","$5052626"
"Mimi Walters (R-Calif) ","California District 45","$4901654"
"Jeff Denham (R-Calif) ","California District 10","$4867442"
"Thomas MacArthur (R-NJ) ","New Jersey District 03","$4725105"
"Kevin Yoder (R-Kan) ","Kansas District 03","$4578200"
"Nancy Pelosi (D-Calif) ","California District 12","$4537320"
"Jim Renacci (R-Ohio) ","Ohio SenateCurrent office: Ohio District 16","$4522306"
"Lee Zeldin (R-NY) ","New York District 01","$4447149"
"Joe Kennedy III (D-Mass) ","Massachusetts District 04","$4415068"
"Brad Schneider (D-Ill) ","Illinois District 10","$4363338"
"Steny H Hoyer (D-Md) ","Maryland District 05","$4114261"
"Steve Stivers (R-Ohio) ","Ohio District 15","$4088933"
"Scott W Taylor (R-Va) ","Virginia District 02","$4010407"
"John Faso (R-NY) ","New York District 19","$3950851"
"Bruce Poliquin (R-Maine) ","Maine District 02","$3944802"
"Cheri Bustos (D-Ill) ","Illinois District 17","$3931138"
"John Lewis (D-Ga) ","Georgia District 05","$3811172"
"Mike Coffman (R-Colo) ","Colorado District 06","$3752316"
"Patrick McHenry (R-NC) ","North Carolina District 10","$3732272"
"Rodney Davis (R-Ill) ","Illinois District 13","$3624118"
"Sean P Duffy (R-Wis) ","Wisconsin District 07","$3615921"
"Richard E Neal (D-Mass) ","Massachusetts District 01","$3554755"
"John Culberson (R-Texas) ","Texas District 07","$3461179"
"Tom Reed (R-NY) ","New York District 23","$3440005"
"Mike Bishop (R-Mich) ","Michigan District 08","$3385093"
"Brian Fitzpatrick (R-Pa) ","Pennsylvania District 01Current office: Pennsylvania District 08","$3383112"
"Ann Kuster (D-NH) ","New Hampshire District 02","$3345077"
"Dave Brat (R-Va) ","Virginia District 07","$3305499"
"Susan Wild (D-Pa) ","Pennsylvania District 07Current office: Pennsylvania District 15","$3280397"
"David Valadao (R-Calif) ","California District 21","$3279453"
"Claudia Tenney (R-NY) ","New York District 22","$3224299"
"Joseph Crowley (D-NY) ","New York District 14","$3219073"
"Stephanie Murphy (D-Fla) ","Florida District 07","$3190877"
"Keith J Rothfus (R-Pa) ","Pennsylvania District 17Current office: Pennsylvania District 12","$3162163"
"Raul Ruiz (D-Calif) ","California District 36","$3124119"
"Charlie Crist (D-Fla) ","Florida District 13","$3112230"
"Fred Upton (R-Mich) ","Michigan District 06","$3096225"
"Eric Swalwell (D-Calif) ","California District 15","$3074115"
"Ann L Wagner (R-Mo) ","Missouri District 02","$3046757"
"French Hill (R-Ark) ","Arkansas District 02","$2934565"
