"Representative","Office Running For","Total Spent"
"John Boehner (R-Ohio) ","Ohio District 08","$17106254"
"Bill Cassidy (R-La) ","Louisiana SenateCurrent office: Louisiana District 06","$14655887"
"Tom Cotton (R-Ark) ","Arkansas SenateCurrent office: Arkansas District 04","$13948938"
"Cory Gardner (R-Colo) ","Colorado SenateCurrent office: Colorado District 04","$12490384"
"Bruce Braley (D-Iowa) ","Iowa SenateCurrent office: Iowa District 01","$12068095"
"Gary Peters (D-Mich) ","Michigan SenateCurrent office: Michigan District 14","$10289555"
"Shelley Moore Capito (R-WVa) ","West Virginia SenateCurrent office: West Virginia District 02","$8779918"
"Paul Ryan (R-Wis) ","Wisconsin District 01","$8041590"
"Jack Kingston (R-Ga) ","Georgia SenateCurrent office: Georgia District 01","$8006033"
"Steven Daines (R-Mont) ","Montana SenateCurrent office: Montana District 01","$6668759"
"Kevin McCarthy (R-Calif) ","California District 23","$5920014"
"Patrick E. Murphy (D-Fla) ","Florida District 18","$4924668"
"Curt Clawson (R-Fla) ","Florida District 19","$4824230"
"Brad Schneider (D-Ill) ","Illinois District 10","$4754838"
"Mike Coffman (R-Colo) ","Colorado District 06","$4708362"
"Scott Peters (D-Calif) ","California District 52","$4504003"
"James Lankford (R-Okla) ","Oklahoma SenateCurrent office: Oklahoma District 05","$4384320"
"Ami Bera (D-Calif) ","California District 07","$4317863"
"Sean Patrick Maloney (D-NY) ","New York District 18","$4161437"
"Peter Roskam (R-Ill) ","Illinois District 06","$4079870"
"Fred Upton (R-Mich) ","Michigan District 06","$3941684"
"Bill Shuster (R-Pa) ","Pennsylvania District 09","$3924437"
"Phil Gingrey (R-Ga) ","Georgia SenateCurrent office: Georgia District 11","$3860309"
"Steny H. Hoyer (D-Md) ","Maryland District 05","$3843176"
"Joe Garcia (D-Fla) ","Florida District 26","$3787930"
"Ann Mclane Kuster (D-NH) ","New Hampshire District 02","$3641777"
"Ron Barber (D-Ariz) ","Arizona District 02","$3610617"
"John Barrow (D-Ga) ","Georgia District 12","$3536271"
"Steve Israel (D-NY) ","New York District 03","$3481423"
"Tom Reed (R-NY) ","New York District 23","$3471224"
"Greg Walden (R-Ore) ","Oregon District 02","$3463666"
"Kyrsten Sinema (D-Ariz) ","Arizona District 09","$3458415"
"Mike Honda (D-Calif) ","California District 17","$3447979"
"Jeb Hensarling (R-Texas) ","Texas District 05","$3408252"
"Rodney Davis (R-Ill) ","Illinois District 13","$3382441"
"Julia Brownley (D-Calif) ","California District 26","$3364754"
"Ann Kirkpatrick (D-Ariz) ","Arizona District 01","$3323325"
"John Kline (R-Minn) ","Minnesota District 02","$3226367"
"Frank Pallone Jr (D-NJ) ","New Jersey District 06","$3164507"
"Colleen Hanabusa (D-Hawaii) ","Hawaii SenateCurrent office: Hawaii District 01","$3127179"
"Lynn Jenkins (R-Kan) ","Kansas District 02","$3122372"
"Alan Grayson (D-Fla) ","Florida District 09","$3102601"
"Cheri Bustos (D-Ill) ","Illinois District 17","$3089768"
"Raul Ruiz (D-Calif) ","California District 36","$3087543"
"Lee Terry (R-Neb) ","Nebraska District 02","$3084768"
"Pete Sessions (R-Texas) ","Texas District 32","$3015805"
"Timothy H. Bishop (D-NY) ","New York District 01","$2988328"
"Chris Gibson (R-NY) ","New York District 19","$2981041"
"Steve Southerland (R-Fla) ","Florida District 02","$2971841"
"Cathy McMorris Rodgers (R-Wash) ","Washington District 05","$2910112"
"Elizabeth Esty (D-Conn) ","Connecticut District 05","$2807776"
"Dan Maffei (D-NY) ","New York District 24","$2749173"
"Debbie Wasserman Schultz (D-Fla) ","Florida District 23","$2744976"
"Steve Scalise (R-La) ","Louisiana District 01","$2735431"
"David Valadao (R-Calif) ","California District 21","$2732693"
"Erik Paulsen (R-Minn) ","Minnesota District 03","$2695111"
"Pete Gallego (D-Texas) ","Texas District 23","$2677653"
"Mike Pompeo (R-Kan) ","Kansas District 04","$2673678"
"Joseph Crowley (D-NY) ","New York District 14","$2668960"
"Nick Rahall (D-WVa) ","West Virginia District 03","$2645214"
"David P Joyce (R-Ohio) ","Ohio District 14","$2623918"
"John K. Delaney (D-Md) ","Maryland District 06","$2586097"
"Lois Capps (D-Calif) ","California District 24","$2493170"
"Mike Simpson (R-Idaho) ","Idaho District 02","$2462428"
"Frank A. LoBiondo (R-NJ) ","New Jersey District 02","$2425940"
"Nancy Pelosi (D-Calif) ","California District 12","$2395066"
"Patrick J. Tiberi (R-Ohio) ","Ohio District 12","$2358505"
"Nita M. Lowey (D-NY) ","New York District 17","$2332093"
"Andy Barr (R-Ky) ","Kentucky District 06","$2295731"
"Suzan DelBene (D-Wash) ","Washington District 01","$2289913"
"Tammy Duckworth (D-Ill) ","Illinois District 08","$2289837"
"Steve Pearce (R-NM) ","New Mexico District 02","$2282213"
"Scott Garrett (R-NJ) ","New Jersey District 05","$2245456"
"Kevin Brady (R-Texas) ","Texas District 08","$2184912"
"James E. Clyburn (D-SC) ","South Carolina District 06","$2184698"
"Dan Benishek (R-Mich) ","Michigan District 01","$2158322"
"Charles W. Boustany Jr (R-La) ","Louisiana District 03","$2118901"
"Rick Nolan (D-Minn) ","Minnesota District 08","$2113281"
"Jim Himes (D-Conn) ","Connecticut District 04","$2101453"
"Michael G. Fitzpatrick (R-Pa) ","Pennsylvania District 08","$2089893"
"Paul Broun (R-Ga) ","Georgia SenateCurrent office: Georgia District 10","$2085876"
"Don Norcross (D-NJ) ","New Jersey District 01","$2075838"
"David McKinley (R-WVa) ","West Virginia District 01","$2021174"
"Steve Stivers (R-Ohio) ","Ohio District 15","$2020213"
"Keith Ellison (D-Minn) ","Minnesota District 05","$1984754"
"Steven A. King (R-Iowa) ","Iowa District 04","$1983501"
"Joe Heck (R-Nev) ","Nevada District 03","$1979832"
"Kevin Yoder (R-Kan) ","Kansas District 03","$1971402"
"Sean P. Duffy (R-Wis) ","Wisconsin District 07","$1970453"
"William Enyart (D-Ill) ","Illinois District 12","$1968427"
"Katherine Clark (D-Mass) ","Massachusetts District 05","$1943089"
"Steven Horsford (D-Nev) ","Nevada District 04","$1934822"
"Bill Johnson (R-Ohio) ","Ohio District 06","$1920522"
"Edwin G. Perlmutter (D-Colo) ","Colorado District 07","$1891892"
"Randy Neugebauer (R-Texas) ","Texas District 19","$1883938"
"Jackie Walorski (R-Ind) ","Indiana District 02","$1836516"
"Renee Ellmers (R-NC) ","North Carolina District 02","$1820394"
"John M. Shimkus (R-Ill) ","Illinois District 15","$1816163"
"Bill Foster (D-Ill) ","Illinois District 11","$1812623"
"David Jolly (R-Fla) ","Florida District 13","$1810874"
"Keith J. Rothfus (R-Pa) ","Pennsylvania District 12","$1807454"
"John F. Tierney (D-Mass) ","Massachusetts District 06","$1794925"
"Tim Walberg (R-Mich) ","Michigan District 07","$1784291"
"Jeff Denham (R-Calif) ","California District 10","$1753321"
"Tom McClintock (R-Calif) ","California District 04","$1750512"
"Darrell Issa (R-Calif) ","California District 49","$1749467"
"Ed Royce (R-Calif) ","California District 39","$1743860"
"Tom Price (R-Ga) ","Georgia District 06","$1724935"
"David Loebsack (D-Iowa) ","Iowa District 02","$1721736"
"Carol Shea-Porter (D-NH) ","New Hampshire District 01","$1713765"
"Mike Thompson (D-Calif) ","California District 05","$1712298"
"Rush Holt (D-NJ) ","New Jersey District 12","$1707507"
"Dennis Heck (D-Wash) ","Washington District 10","$1705018"
"Mac Thornberry (R-Texas) ","Texas District 13","$1693677"
"Kristi Noem (R-SD) ","South Dakota District 01","$1684069"
"Eric Swalwell (D-Calif) ","California District 15","$1669314"
"Joe Barton (R-Texas) ","Texas District 06","$1659549"
"John B. Larson (D-Conn) ","Connecticut District 01","$1659154"
"Bradley Byrne (R-Ala) ","Alabama District 01","$1655999"
"Ander Crenshaw (R-Fla) ","Florida District 04","$1642951"
